"","GSM4385296","GSM4385297","GSM4385298","GSM4385299","GSM4385300","GSM4385301"
"646802",1,6,5,3,2,2
"646813",0,0,0,0,0,0
"646817",12,8,6,2,8,9
"64682",2981,2636,2468,2194,2278,2167
"646851",618,607,473,474,484,444
"646862",5,14,3,5,8,4
"646864",0,0,0,0,0,0
"64689",888,852,707,645,735,658
"646892",23,27,17,21,17,22
"6469",95,112,65,58,58,84
"646903",47,43,37,41,37,32
"646915",2,2,1,3,4,4
"64693",1,2,2,2,0,2
"646938",0,0,0,0,0,0
"646951",10,6,5,3,11,0
"646960",8,5,2,10,6,2
"646962",2,4,4,3,0,2
"646976",207,175,170,162,207,168
"646982",9,16,17,9,15,16
"64699",34,26,16,26,34,25
"6470",1483,1497,1264,1309,1335,1180
"647012",0,0,0,0,0,0
"647024",215,220,178,153,160,158
"647033",207,213,174,187,189,220
"647042",80,80,52,68,60,62
"647060",0,0,0,0,1,0
"647070",274,224,225,195,217,198
"64708",573,524,496,510,461,414
