"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID","GENENAME","Regulation","minusLog10P","minusLog10FDR"
"ENSG00000105499",541.968076312642,5.02580308910563,0.273329257369719,18.5182850708553,1.47046840307876e-76,2.13322206985645e-74,"PLA2G4C","8605","phospholipase A2 group IVC","Up in ZIKV",75.8325443030277,73.6709639318487
"ENSG00000135842",647.302064692221,3.75418726602091,0.204143888094134,18.5147383440133,1.57057916040131e-76,2.26240822014146e-74,"NIBAN1","116496","niban apoptosis regulator 1","Up in ZIKV",75.8039401693839,73.6454290299325
"ENSG00000008517",2895.76962418089,4.6003979196774,0.250992613424566,18.4653598225949,3.92399738895004e-76,5.5739837910398e-74,"IL32","9235","interleukin 32","Up in ZIKV",75.406271290274,73.2538342985348
"ENSG00000152137",1701.61474346377,3.34462861232895,0.182466331042363,18.45026972303,5.18854833552577e-76,7.31943146228824e-74,"HSPB8","26353","heat shock protein family B (small) member 8","Up in ZIKV",75.2849541331066,73.1355226515072
"ENSG00000174804",2755.80975946868,4.73009613072989,0.258905803459355,18.4103422493557,1.08534537041618e-75,1.51025439128319e-73,"FZD4","8322","frizzled class receptor 4","Up in ZIKV",74.9644320419088,72.8209498928226
"ENSG00000154451",561.172965987521,7.84636265342688,0.42651209044272,18.3640654015821,2.54798336055243e-75,3.45158938013907e-73,"GBP5","115362","guanylate binding protein 5","Up in ZIKV",74.5938034124606,72.4619808759194
"ENSG00000128016",7203.99677813405,3.97388998150961,0.218028923234758,18.3581324107448,2.84214678851522e-75,3.82474424730781e-73,"ZFP36","7538","ZFP36 zinc finger CCCH-type","Up in ZIKV",74.5463534957977,72.4173975999081
"ENSG00000204642",1301.49782338181,4.95662910884842,0.272501712854061,18.330509337798,4.72460133235199e-75,6.27543638008181e-73,"HLA-F","3134","major histocompatibility complex, class I, F","Up in ZIKV",74.3256348319091,72.2023560689111
"ENSG00000164949",1326.5013685856,3.53164500921237,0.194151700473235,18.3154637247318,6.22940026057478e-75,8.22079886000368e-73,"GEM","2669","GTP binding protein overexpressed in skeletal muscle","Up in ZIKV",74.2055537633024,72.0850859776383
"ENSG00000223773",797.371212645957,3.51329980140316,0.193140235215253,18.3106945181533,6.7996953864088e-75,8.91588263647384e-73,"ENSG00000223773",NA,NA,"Up in ZIKV",74.1675105424357,72.0498356569557
"ENSG00000155918",683.546328259894,7.84397664442141,0.430632971075583,18.2656816753698,1.55261850374726e-74,1.99740952793398e-72,"RAET1L","154064","retinoic acid early transcript 1L","Up in ZIKV",73.8089352423208,71.6995328828069
"ENSG00000169248",827.090675975721,8.62469263801265,0.472098884948869,18.2411824892344,2.43140997019022e-74,3.08909881616404e-72,"CXCL11","6373","C-X-C motif chemokine ligand 11","Up in ZIKV",73.6141418067758,71.5101681989733
"ENSG00000237187",1175.92545641362,3.55172372544538,0.197485046398987,18.1100837789534,2.65344337930932e-73,3.28747299379089e-71,"NR2F1-AS1","441094","NR2F1 regulatory antisense RNA 1","Up in ZIKV",72.5761901751595,70.4831378061663
"ENSG00000261094",701.396463246629,4.31007295007073,0.24082862654672,18.0353641536208,1.0281588831407e-72,1.23711705615548e-70,"ENSG00000261094",NA,NA,"Up in ZIKV",71.9879397678899,69.9075892054338
"ENSG00000181016",311.761439919284,4.77848911290954,0.267370265563134,17.9800301380149,2.79340711775468e-72,3.3220431740507e-70,"LSMEM1","286006","leucine rich single-pass membrane protein 1","Up in ZIKV",71.553865764582,69.4785947276552
"ENSG00000245149",854.845681882375,4.17840323748661,0.234695855472524,17.9366170777327,6.10611358183056e-72,7.17819271933012e-70,"RNF139-DT","101927612","RNF139 divergent transcript","Up in ZIKV",71.2142351215075,69.1439848859557
"ENSG00000138642",1176.80001688134,2.8922009357817,0.162551138397632,17.9078145163465,1.02481115500278e-71,1.19785783860468e-69,"HERC6","55008","HECT and RLD domain containing E3 ubiquitin protein ligase family member 6","Up in ZIKV",70.9893561559704,68.9215947208224
"ENSG00000197980",322.652285251155,4.40573922636645,0.247720288687747,17.900305168982,1.17277531702651e-71,1.36301813123735e-69,"LEKR1","389170","leucine, glutamate and lysine rich 1","Up in ZIKV",70.930785183044,68.8654983670238
"ENSG00000272455",822.765040467047,3.70497488757065,0.20887464538453,17.8651744900956,2.20242318208029e-71,2.53093068480069e-69,"ENSG00000272455",NA,NA,"Up in ZIKV",70.6570992303304,68.5967197488049
"ENSG00000274460",552.876076724717,4.25936436717527,0.240417637525507,17.853420813337,2.71862075223828e-71,3.10666969201308e-69,"ENSG00000274460",NA,NA,"Up in ZIKV",70.565651372294,68.5077049194395
"ENSG00000083799",3394.65513193153,2.99757022106951,0.169125078027489,17.8378355127865,3.59348359703117e-71,4.0835948320707e-69,"CYLD","1540","CYLD lysine 63 deubiquitinase","Up in ZIKV",70.4444843332019,68.3889573544708
"ENSG00000198576",413.662822985659,6.50995118148631,0.366527819833997,17.8306021457492,4.08992495685662e-71,4.59667115343419e-69,"ARC","23237","activity regulated cytoskeleton associated protein","Up in ZIKV",70.3882846604822,68.3375565646328
"ENSG00000077522",516.126341334299,7.71932437122323,0.433917903184446,17.786555010013,8.98360733972523e-71,9.87955312548815e-69,"ACTN2","88","actinin alpha 2","Up in ZIKV",70.0465492387053,68.0052626990889
"ENSG00000105642",565.676326839784,3.42930368777371,0.194481208222041,17.7581195853475,1.49148218935385e-70,1.63145819161674e-68,"KCNN1","3780","potassium calcium-activated channel subfamily N member 1","Up in ZIKV",69.826381928431,67.7874240511331
"ENSG00000162510",312.785186542792,6.15884276836448,0.348813443607264,17.7100033798972,3.51051360526794e-70,3.75955789506574e-68,"MATN1","4146","matrilin 1","Up in ZIKV",69.4546293394841,67.4248632228974
"ENSG00000261087",324.603555714502,4.32420116164468,0.246031180469382,17.7031759330859,3.9631387251468e-70,4.22218763660822e-68,"ZNNT1","115830329","ZNF706 neighboring transcript 1","Up in ZIKV",69.4019607254172,67.3744624702863
"ENSG00000205413",1493.4297995136,3.38060789400162,0.192657938527956,17.6754478453714,6.48236072484036e-70,6.83488085704172e-68,"SAMD9","54809","sterile alpha motif domain containing 9","Up in ZIKV",69.1882668053852,67.165269051481
"ENSG00000130766",1668.13190112121,3.3379134397385,0.190189135642132,17.674227637389,6.62413854776733e-70,6.94855148690158e-68,"SESN2","83667","sestrin 2","Up in ZIKV",69.1788705926028,67.1581057201309
"ENSG00000220323",608.431446773895,4.14353694834016,0.236717327844797,17.6432564828377,1.14658695941262e-69,1.19660389055026e-67,"H2BC19P","337874","H2B clustered histone 19, pseudogene","Up in ZIKV",68.9405930019363,66.9220495894584
"ENSG00000173805",439.595872765012,3.55808483274735,0.203590088613179,17.5996828926745,2.47707256881248e-69,2.57200606066291e-67,"HAP1","9001","huntingtin associated protein 1","Up in ZIKV",68.6060612700499,66.5897280123772
"ENSG00000276791",500.626315233211,4.18329502501878,0.240355139196402,17.5339481896611,7.88959629973202e-69,8.10963277944817e-67,"ENSG00000276791",NA,NA,"Up in ZIKV",68.1029452184996,66.0909988110749
"ENSG00000167550",1052.46150063453,4.56766645328399,0.262698517953399,17.5309780129393,8.31272777105677e-69,8.50184232784832e-67,"RHEBL1","121268","RHEB like 1","Up in ZIKV",68.080256441736,66.0704869535656
