"","GSM8231986","GSM8231987","GSM8231988","GSM8231989","GSM8231990","GSM8231991"
"ENSG00000028116",538,573,402,676,934,959
"ENSG00000028137",120,155,147,25,24,9
"ENSG00000028203",2983,4398,2804,3394,3042,3632
"ENSG00000028277",140,143,119,40,33,31
"ENSG00000028310",1173,1294,992,1426,2218,1553
"ENSG00000028528",4803,5169,3668,3459,3781,3776
"ENSG00000028839",464,661,324,233,228,316
"ENSG00000029153",3400,3382,2453,1918,1428,1477
"ENSG00000029363",2295,2992,2151,3682,4109,4092
"ENSG00000029364",2490,2741,2021,2929,2666,2534
"ENSG00000029534",131,111,93,266,267,191
"ENSG00000029639",259,428,248,229,310,279
"ENSG00000029725",1746,1778,1278,1636,2265,1891
"ENSG00000029993",838,1428,830,3584,5098,4764
"ENSG00000030066",1471,1679,1175,2809,3406,2933
"ENSG00000030110",522,860,483,351,341,483
"ENSG00000030419",31,48,29,18,31,19
"ENSG00000030582",1197,1665,1056,8497,9046,6941
"ENSG00000031003",961,1082,789,643,526,527
"ENSG00000031081",426,419,405,132,116,131
"ENSG00000031691",177,267,116,262,328,382
"ENSG00000031698",2215,3549,2140,1981,3270,2719
"ENSG00000031823",1423,1698,1213,1629,1670,1691
"ENSG00000032219",1895,1611,1331,723,792,692
"ENSG00000032389",783,1366,674,1158,1601,1436
"ENSG00000032444",1106,1290,1094,4569,4858,3650
"ENSG00000032742",218,316,193,490,666,558
"ENSG00000033011",146,229,147,644,1022,730
"ENSG00000033030",2686,3409,2321,942,906,1178
"ENSG00000033050",484,646,431,569,698,737
"ENSG00000033100",1526,2032,1484,2154,2141,1863
"ENSG00000033122",50,41,45,36,18,23
"ENSG00000033170",380,327,243,733,658,700
"ENSG00000033178",1152,1144,834,1415,1838,1424
"ENSG00000033327",292,290,268,477,239,275
"ENSG00000033627",5711,5516,4440,1560,1879,1477
"ENSG00000033800",1435,1685,1181,1136,1021,1445
"ENSG00000033867",2584,1819,1622,8279,7535,5711
"ENSG00000034053",166,289,231,1186,1422,1163
"ENSG00000034152",5907,7251,4812,1179,1594,1334
"ENSG00000034510",16889,44132,16362,31140,49066,42283
"ENSG00000034533",251,268,210,127,126,133
"ENSG00000034677",2223,2815,1825,1811,1960,1956
"ENSG00000034693",209,288,132,213,265,239
"ENSG00000034713",1579,2110,1200,1403,2359,1764
"ENSG00000035115",477,617,378,427,489,454
"ENSG00000035141",1600,3038,1499,1930,2465,2750
"ENSG00000035403",5626,4625,4017,14847,12344,12087
"ENSG00000035499",232,302,200,623,1126,884
"ENSG00000035664",110,110,71,189,157,162
"ENSG00000035681",870,1036,807,1717,1535,1698
"ENSG00000035687",726,749,445,1449,2055,1741
"ENSG00000035862",1547,981,816,10456,7393,5454
"ENSG00000035928",1161,1319,972,1766,1815,1995
"ENSG00000036054",1066,1230,756,858,768,900
"ENSG00000036257",1624,1972,1386,2438,2987,2713
"ENSG00000036448",102,172,51,65,68,74
"ENSG00000036530",23,25,10,15,10,10
"ENSG00000036549",668,963,584,989,878,993
"ENSG00000036672",52,62,45,85,48,56
"ENSG00000037042",1132,1630,1200,783,543,832
"ENSG00000037241",523,1069,425,741,640,1105
"ENSG00000037280",54,68,56,235,366,275
"ENSG00000037474",2559,3218,2323,2974,4771,3856
"ENSG00000037637",964,1223,758,564,633,496
"ENSG00000037749",860,622,606,458,579,528
"ENSG00000037757",86,100,103,395,668,470
"ENSG00000037897",318,717,373,403,648,577
"ENSG00000037965",236,389,225,263,368,277
"ENSG00000038002",153,198,131,497,592,611
"ENSG00000038210",297,282,187,436,624,487
"ENSG00000038219",2035,1646,1715,3532,2912,2948
"ENSG00000038274",1259,1979,1061,1656,1617,1939
"ENSG00000038295",19,28,33,33,36,58
"ENSG00000038358",2920,3086,2861,1568,2074,1518
"ENSG00000038382",5491,4423,4666,6624,5489,4450
"ENSG00000038427",1330,840,787,10554,8994,8853
"ENSG00000038532",1092,1005,867,808,751,741
"ENSG00000039068",48,68,76,1116,1117,1328
"ENSG00000039123",1497,1809,1304,2154,3585,2962
"ENSG00000039139",84,57,57,181,156,132
"ENSG00000039319",814,706,607,1445,1537,1519
"ENSG00000039523",772,694,681,1175,1389,897
"ENSG00000039560",2225,2436,1825,7433,5954,5575
"ENSG00000039600",37,29,20,0,0,2
"ENSG00000039650",789,1343,888,1684,2716,1991
"ENSG00000039987",41,17,27,0,2,1
"ENSG00000040199",1104,1042,839,856,972,736
"ENSG00000040275",1838,2115,1518,3666,3288,3250
"ENSG00000040341",394,476,320,1220,1306,1357
"ENSG00000040487",421,580,365,435,483,470
"ENSG00000040531",461,465,398,826,782,789
"ENSG00000040608",46,69,54,220,187,193
"ENSG00000040633",1205,2592,1391,2061,2305,2494
"ENSG00000040731",50,106,61,67,91,105
"ENSG00000040933",498,454,352,1337,1332,1058
"ENSG00000041353",81,130,111,761,1296,1346
"ENSG00000041357",2839,6189,3031,5982,5042,9098
"ENSG00000041515",28,57,35,15,15,14
"ENSG00000041802",1181,1438,1083,1059,1539,1401
"ENSG00000041880",377,532,357,481,358,450
"ENSG00000041982",185,119,97,119,163,82
"ENSG00000041988",864,1617,872,326,395,328
"ENSG00000042062",103,37,74,14,14,1
"ENSG00000042088",269,339,218,495,641,806
"ENSG00000042286",3216,3886,2598,1787,2004,2087
"ENSG00000042317",206,308,166,231,172,242
"ENSG00000042429",280,363,361,119,123,66
"ENSG00000042445",2061,2145,1648,2262,1849,2097
"ENSG00000042493",639,1108,473,1572,2002,1840
"ENSG00000042753",895,1987,858,2395,4869,3620
"ENSG00000042832",262,170,173,8,3,5
"ENSG00000042980",12,12,8,9,10,3
"ENSG00000043093",956,1094,719,898,820,875
"ENSG00000043143",878,857,704,2123,2446,1948
"ENSG00000043355",550,610,412,481,539,445
"ENSG00000043514",638,1033,557,502,621,582
"ENSG00000043591",125,137,90,51,59,39
"ENSG00000044090",825,902,729,1206,1575,1018
"ENSG00000044115",6426,7696,5972,12626,11963,12411
"ENSG00000044446",260,213,260,1321,1846,1426
"ENSG00000044459",351,442,325,787,645,774
"ENSG00000044574",18616,24649,14289,18180,24205,21168
"ENSG00000046604",1209,1140,934,4171,3030,4118
"ENSG00000046647",155,290,128,437,435,476
"ENSG00000046651",1161,1365,1019,979,927,965
"ENSG00000046653",193,116,151,27,41,29
"ENSG00000047056",1066,1278,857,563,619,523
"ENSG00000047188",1285,1460,1000,1438,1847,1488
"ENSG00000047230",330,376,264,1259,1086,1196
"ENSG00000047249",734,1057,521,974,1248,1068
"ENSG00000047315",2042,2528,1802,3115,4082,3892
"ENSG00000047346",1320,1054,763,435,389,412
"ENSG00000047365",751,984,669,141,141,107
"ENSG00000047410",4103,3597,3691,5798,6493,6350
"ENSG00000047457",32,123,89,309,462,785
"ENSG00000047578",1024,838,802,1522,1418,1339
"ENSG00000047579",175,299,161,321,367,305
"ENSG00000047597",35,41,26,127,158,145
"ENSG00000047621",605,898,515,387,488,474
"ENSG00000047634",582,637,446,269,285,365
"ENSG00000047644",1380,1734,1126,2526,2477,2174
"ENSG00000047648",27,26,28,13,16,16
"ENSG00000047662",55,46,44,8,3,3
"ENSG00000047849",3730,3739,3227,10802,7066,8677
"ENSG00000047932",1793,2875,1641,1686,1922,1708
"ENSG00000047936",36,33,32,19,26,33
"ENSG00000048028",715,735,591,895,801,998
"ENSG00000048052",608,670,423,14,33,29
"ENSG00000048140",601,762,532,2536,3044,2574
"ENSG00000048162",738,2000,965,600,1232,939
"ENSG00000048342",407,433,360,478,481,501
"ENSG00000048392",3765,3697,2291,1601,1941,1761
